mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,,
CN-IN,CN,East Asia & Pacific,Upper middle,IN,South Asia,Lower middle,318,9990,67,0.006706707,2009537,251,0.000124904,53.69472221,0.000157463,,
PK-CA,PK,South Asia,Lower middle,CA,North America,High,318,1971,68,0.034500254,36199,250,0.006906268,4.995498732,0.00833115,,
DE-PK,DE,Europe & Central Asia,High,PK,South Asia,Lower middle,317,2004,61,0.030439122,615921,256,0.000415638,73.2347434,0.000513007,,
GR-ES,GR,Europe & Central Asia,High,ES,Europe & Central Asia,High,317,4688,109,0.023250853,59288,208,0.003508298,6.627387438,0.004954983,,
IL-CH,IL,Middle East & North Africa,High,CH,Europe & Central Asia,High,316,2525,73,0.028910891,64116,243,0.003790006,7.628192153,0.004741826,,
DK-ES,DK,Europe & Central Asia,High,ES,Europe & Central Asia,High,315,4977,112,0.022503516,56949,203,0.003564593,6.313067698,0.005086716,,
NL-ZA,NL,Europe & Central Asia,High,ZA,Sub-Saharan Africa,Upper middle,315,3439,91,0.026461181,168180,224,0.001331906,19.86714888,0.001835461,,
DE-SA,DE,Europe & Central Asia,High,SA,Middle East & North Africa,High,314,3893,55,0.014127922,614032,259,0.000421802,33.49419362,0.000508152,,
AR-IT,AR,Latin America & Caribbean,Upper middle,IT,Europe & Central Asia,High,314,2698,106,0.039288362,44109,208,0.004715591,8.331588213,0.006708398,,
ID-NL,ID,East Asia & Pacific,Lower middle,NL,Europe & Central Asia,High,313,1524,93,0.061023622,79389,220,0.002771165,22.02092878,0.003868352,,
VN-KR,VN,East Asia & Pacific,Lower middle,KR,East Asia & Pacific,High,313,1861,101,0.054271897,12622,212,0.01679607,3.231225857,0.021611545,,
TH-DE,TH,East Asia & Pacific,Upper middle,DE,Europe & Central Asia,High,313,1696,89,0.052476415,39926,224,0.005610379,9.353452451,0.007520062,,
JP-FI,JP,East Asia & Pacific,High,FI,Europe & Central Asia,High,313,3969,80,0.020156211,927392,233,0.000251242,80.2262167,0.000336067,,
ES-CZ,ES,Europe & Central Asia,High,CZ,Europe & Central Asia,High,312,5345,71,0.013283442,343346,241,0.000701916,18.9245512,0.000894775,,
BG-US,BG,Europe & Central Asia,Upper middle,US,North America,High,309,1421,82,0.057705841,11518,227,0.019708283,2.927999454,0.023881289,,
NO-NL,NO,Europe & Central Asia,High,NL,Europe & Central Asia,High,307,5097,148,0.029036688,40695,159,0.003907114,7.431748605,0.006704228,,
UK-HU,UK,Europe & Central Asia,High,HU,Europe & Central Asia,High,307,5811,95,0.016348305,614262,212,0.00034513,47.36859664,0.000495103,,
HU-AT,HU,Europe & Central Asia,High,AT,Europe & Central Asia,High,306,2639,107,0.040545661,28244,199,0.007045744,5.754631437,0.009908364,,
UK-KE,UK,Europe & Central Asia,High,KE,Sub-Saharan Africa,Lower middle,306,3081,99,0.032132425,616992,207,0.000335499,95.77511536,0.00049349,,
NL-PT,NL,Europe & Central Asia,High,PT,Europe & Central Asia,High,306,4469,69,0.015439696,167150,237,0.001417888,10.88921997,0.001783019,,
IR-ES,IR,Middle East & North Africa,Lower middle,ES,Europe & Central Asia,High,304,3868,71,0.018355739,151364,233,0.001539336,11.92445553,0.001958359,,
RU-ES,RU,Europe & Central Asia,Upper middle,ES,Europe & Central Asia,High,303,5391,126,0.023372287,262120,177,0.000675263,34.61211247,0.001132664,,
PL-RU,PL,Europe & Central Asia,High,RU,Europe & Central Asia,Upper middle,303,4400,103,0.023409091,107189,200,0.001865863,12.54598523,0.002715321,,
GE-US,GE,Europe & Central Asia,Upper middle,US,North America,High,303,610,89,0.145901639,2062,214,0.103782735,1.405837291,0.113398204,,
RU-PL,RU,Europe & Central Asia,Upper middle,PL,Europe & Central Asia,High,303,6144,126,0.020507813,261367,177,0.000677209,30.28285553,0.001132664,,
SN-FR,SN,Sub-Saharan Africa,Lower middle,FR,Europe & Central Asia,High,303,1139,169,0.148375768,1533,134,0.087410307,1.69746308,0.113398204,,
NO-FR,NO,Europe & Central Asia,High,FR,Europe & Central Asia,High,303,4355,114,0.026176808,41437,189,0.004561141,5.739092085,0.006616876,,
CA-AT,CA,North America,High,AT,Europe & Central Asia,High,302,3801,73,0.019205472,328185,229,0.000697777,27.52378999,0.000909677,,
DE-MX,DE,Europe & Central Asia,High,MX,Latin America & Caribbean,Upper middle,301,3738,64,0.017121455,614187,237,0.000385876,44.37035984,0.000487114,,
ID-AU,ID,East Asia & Pacific,Lower middle,AU,East Asia & Pacific,High,300,2452,83,0.033849918,78461,217,0.002765705,12.23916337,0.003707686,,
AE-US,AE,Middle East & North Africa,High,US,North America,High,300,1369,117,0.085463842,5314,183,0.034437335,2.481720533,0.044890019,,
AU-ZA,AU,East Asia & Pacific,High,ZA,Sub-Saharan Africa,Upper middle,299,4115,88,0.021385176,218975,211,0.00096358,22.19345476,0.001340266,,
NL-BR,NL,Europe & Central Asia,High,BR,Latin America & Caribbean,Upper middle,298,3890,71,0.018251928,167729,227,0.001353374,13.48624509,0.001736404,,
NZ-CN,NZ,East Asia & Pacific,High,CN,East Asia & Pacific,Upper middle,297,2025,128,0.063209877,34940,169,0.004836863,13.06836146,0.008034627,,
US-CR,US,North America,High,CR,Latin America & Caribbean,Upper middle,297,2704,74,0.027366864,2612973,223,0.0000853,320.6676075,0.000113546,,
US-PA,US,North America,High,PA,Latin America & Caribbean,Upper middle,297,2868,87,0.030334728,2612809,210,0.0000804,377.4230972,0.000113546,,
RU-IL,RU,Europe & Central Asia,Upper middle,IL,Middle East & North Africa,High,296,2602,82,0.03151422,264909,214,0.000807825,39.01121711,0.001106497,,
FR-KR,FR,Europe & Central Asia,High,KR,East Asia & Pacific,High,296,3753,57,0.01518785,372755,239,0.000641172,23.68764403,0.000786172,,
PL-JP,PL,Europe & Central Asia,High,JP,East Asia & Pacific,High,296,3485,105,0.030129125,108104,191,0.001766817,17.05276916,0.002652591,,
JP-DK,JP,East Asia & Pacific,High,DK,Europe & Central Asia,High,295,3656,74,0.0202407,927705,221,0.000238222,84.96560541,0.000316741,,
US-TZ,US,North America,High,TZ,Sub-Saharan Africa,Lower middle,295,3400,121,0.035588235,2612277,174,0.0000666,534.2892444,0.000112782,,
PT-CH,PT,Europe & Central Asia,High,CH,Europe & Central Asia,High,294,2911,84,0.028856063,60811,210,0.003453323,8.356028856,0.004613791,,
FI-AU,FI,Europe & Central Asia,High,AU,East Asia & Pacific,High,294,3195,96,0.030046948,51306,198,0.003859198,7.785801679,0.005394396,,
HR-DE,HR,Europe & Central Asia,High,DE,Europe & Central Asia,High,294,2258,136,0.060230292,14057,158,0.011239952,5.358589992,0.018020227,,
UA-FR,UA,Europe & Central Asia,Lower middle,FR,Europe & Central Asia,High,293,2200,133,0.060454545,52486,160,0.003048432,19.83135795,0.005357861,,
US-UA,US,North America,High,UA,Europe & Central Asia,Lower middle,293,4266,72,0.016877637,2611411,221,0.0000846,199.431888,0.000112017,,
FI-IT,FI,Europe & Central Asia,High,IT,Europe & Central Asia,High,292,4848,118,0.024339934,49653,174,0.00350432,6.945693923,0.0053577,,
NL-ID,NL,Europe & Central Asia,High,ID,East Asia & Pacific,Lower middle,291,1778,81,0.045556805,169841,210,0.001236451,36.84482565,0.001695616,,
ID-MY,ID,East Asia & Pacific,Lower middle,MY,East Asia & Pacific,Upper middle,291,3460,95,0.027456647,77453,196,0.002530567,10.84999853,0.003596455,,
US-CY,US,North America,High,CY,Europe & Central Asia,High,289,1936,38,0.019628099,2613741,251,0.000096,204.3934963,0.000110488,,
US-VE,US,North America,High,VE,Latin America & Caribbean,Upper middle,289,2395,56,0.023382046,2613282,233,0.0000892,262.2484109,0.000110488,,
SE-AT,SE,Europe & Central Asia,High,AT,Europe & Central Asia,High,288,3774,90,0.023847377,98801,198,0.002004028,11.89972058,0.002807702,,
LK-US,LK,South Asia,Lower middle,US,North America,High,286,869,57,0.065592635,6829,229,0.03353346,1.956035397,0.037152507,,
AU-NO,AU,East Asia & Pacific,High,NO,Europe & Central Asia,High,285,3711,92,0.024791161,219379,193,0.000879756,28.17958653,0.001277511,,
PH-JP,PH,East Asia & Pacific,Lower middle,JP,East Asia & Pacific,High,284,1266,102,0.08056872,7209,182,0.02524622,3.191318161,0.033510324,,
IL-IT,IL,Middle East & North Africa,High,IT,Europe & Central Asia,High,284,4183,85,0.020320344,62458,199,0.003186141,6.377728951,0.004261641,,
AU-RU,AU,East Asia & Pacific,High,RU,Europe & Central Asia,Upper middle,283,1830,26,0.01420765,221260,257,0.001161529,12.23184708,0.001268546,,
GH-US,GH,Sub-Saharan Africa,Lower middle,US,North America,High,283,1760,127,0.072159091,4701,156,0.033184429,2.174486451,0.043801269,,
MY-SG,MY,East Asia & Pacific,Upper middle,SG,East Asia & Pacific,High,281,1837,46,0.025040827,70281,235,0.00334372,7.488912311,0.003896392,,
BE-DK,BE,Europe & Central Asia,High,DK,Europe & Central Asia,High,280,4305,90,0.020905923,79402,190,0.002392887,8.736695397,0.003345001,,
QA-US,QA,Middle East & North Africa,High,US,North America,High,280,1304,117,0.089723926,3038,163,0.05365372,1.672277843,0.064486412,,
US-RS,US,North America,High,RS,Europe & Central Asia,Upper middle,280,2858,55,0.019244227,2612819,225,0.0000861,223.4741389,0.000107047,,
IN-ET,IN,South Asia,Lower middle,ET,Sub-Saharan Africa,Low,278,1224,15,0.012254902,436200,263,0.000602934,20.32543055,0.000635539,,
ID-UK,ID,East Asia & Pacific,Lower middle,UK,Europe & Central Asia,High,277,1760,66,0.0375,79153,211,0.002665723,14.0674763,0.00342343,,
IN-NP,IN,South Asia,Lower middle,NP,South Asia,Lower middle,277,1412,39,0.027620397,436012,238,0.000545857,50.60010236,0.000633253,,
SG-JP,SG,East Asia & Pacific,High,JP,East Asia & Pacific,High,277,3234,74,0.02288188,50447,203,0.004024025,5.686316264,0.005160113,,
ET-US,ET,Sub-Saharan Africa,Low,US,North America,High,277,1904,139,0.073004202,6780,138,0.020353982,3.58672817,0.031897743,,
TH-CA,TH,East Asia & Pacific,Upper middle,CA,North America,High,276,1356,64,0.04719764,40266,212,0.005264988,8.964434797,0.006631109,,
IL-NL,IL,Middle East & North Africa,High,NL,Europe & Central Asia,High,276,3024,62,0.020502646,63617,214,0.003363881,6.094938313,0.004141595,,
NL-PL,NL,Europe & Central Asia,High,PL,Europe & Central Asia,High,276,5119,81,0.015823403,166500,195,0.001171171,13.5107518,0.001608214,,
DE-RO,DE,Europe & Central Asia,High,RO,Europe & Central Asia,Upper middle,276,4566,70,0.015330705,613359,206,0.000335856,45.64672824,0.000446656,,
JP-BR,JP,East Asia & Pacific,High,BR,Latin America & Caribbean,Upper middle,275,3524,52,0.014755959,927837,223,0.000240344,61.39517874,0.000295267,,
IR-DK,IR,Middle East & North Africa,Lower middle,DK,Europe & Central Asia,High,275,2066,71,0.034365924,153166,204,0.001331888,25.8024078,0.001771542,,
TW-IN,TW,East Asia & Pacific,High,IN,South Asia,Lower middle,275,2639,85,0.03220917,159706,190,0.001189686,27.07367224,0.001693923,,
CZ-IT,CZ,Europe & Central Asia,High,IT,Europe & Central Asia,High,274,4528,128,0.028268551,44597,146,0.003273763,8.634880682,0.005577608,,
IN-PT,IN,South Asia,Lower middle,PT,Europe & Central Asia,High,273,2229,61,0.027366532,435195,212,0.000487138,56.17819777,0.000624108,,
US-EC,US,North America,High,EC,Latin America & Caribbean,Upper middle,273,2631,61,0.023185101,2613046,212,0.0000811,285.7723335,0.000104371,,
TR-SE,TR,Europe & Central Asia,Upper middle,SE,Europe & Central Asia,High,272,1858,72,0.038751346,131204,200,0.001524344,25.4216577,0.00204416,,
MY-IN,MY,East Asia & Pacific,Upper middle,IN,South Asia,Lower middle,271,2989,91,0.030444965,69129,180,0.002603828,11.69238876,0.00375773,,
TW-VN,TW,East Asia & Pacific,High,VN,East Asia & Pacific,Lower middle,271,1378,51,0.03701016,160967,220,0.00136674,27.07915622,0.001669285,,
BE-JP,BE,Europe & Central Asia,High,JP,East Asia & Pacific,High,270,3904,86,0.022028689,79803,184,0.002305678,9.5541056,0.003225537,,
HU-CH,HU,Europe & Central Asia,High,CH,Europe & Central Asia,High,270,1753,72,0.041072447,29130,198,0.006797116,6.042628222,0.008742674,,
DE-ID,DE,Europe & Central Asia,High,ID,East Asia & Pacific,Lower middle,269,1621,33,0.020357804,616304,236,0.000382928,53.16354207,0.000435328,,
PT-SE,PT,Europe & Central Asia,High,SE,Europe & Central Asia,High,269,3006,87,0.028942116,60716,182,0.002997562,9.655217038,0.004221462,,
SK-DE,SK,Europe & Central Asia,High,DE,Europe & Central Asia,High,268,2371,106,0.044706875,15636,162,0.010360706,4.315041317,0.014883101,,
FI-CN,FI,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,268,3122,127,0.040679052,51379,141,0.002744312,14.8230426,0.004917341,,
FI-ES,FI,Europe & Central Asia,High,ES,Europe & Central Asia,High,267,4174,108,0.025874461,50327,159,0.003159338,8.189836454,0.004898993,,
NO-CA,NO,Europe & Central Asia,High,CA,North America,High,266,3444,98,0.028455285,42348,168,0.003967129,7.172764228,0.005808875,,
JO-SA,JO,Middle East & North Africa,Upper middle,SA,Middle East & North Africa,High,265,790,38,0.048101266,6060,227,0.037458746,1.284113088,0.038686131,,
IN-FI,IN,South Asia,Lower middle,FI,Europe & Central Asia,High,265,1705,25,0.014662757,435719,240,0.000550814,26.62017351,0.00060582,,
AR-CL,AR,Latin America & Caribbean,Upper middle,CL,Latin America & Caribbean,High,265,3113,110,0.035335689,43694,155,0.003547398,9.961016756,0.005661546,,
GR-CA,GR,Europe & Central Asia,High,CA,North America,High,264,1952,49,0.025102459,62024,215,0.0034664,7.241650782,0.004126547,,
US-LK,US,North America,High,LK,South Asia,Lower middle,264,1582,39,0.024652339,2614095,225,0.0000861,286.4158028,0.00010093,,
UK-ID,UK,Europe & Central Asia,High,ID,East Asia & Pacific,Lower middle,264,1583,34,0.021478206,618490,230,0.000371873,57.75676344,0.000425756,,
DE-IR,DE,Europe & Central Asia,High,IR,Middle East & North Africa,Lower middle,263,3368,74,0.021971496,614557,189,0.000307539,71.44305257,0.000425618,,
BR-PE,BR,Latin America & Caribbean,Upper middle,PE,Latin America & Caribbean,Upper middle,263,2428,50,0.020593081,404259,213,0.00052689,39.084217,0.000646689,,
US-IQ,US,North America,High,IQ,Middle East & North Africa,Upper middle,262,1177,32,0.027187766,2614500,230,0.000088,309.0539692,0.000100165,,
NL-IE,NL,Europe & Central Asia,High,IE,Europe & Central Asia,High,262,3975,63,0.015849057,167644,199,0.001187039,13.351755,0.001526637,,
IT-HU,IT,Europe & Central Asia,High,HU,Europe & Central Asia,High,261,5063,87,0.017183488,310760,174,0.000559918,30.68931464,0.000826412,,
BD-MY,BD,South Asia,Lower middle,MY,East Asia & Pacific,Upper middle,261,1141,70,0.061349693,22962,191,0.008318091,7.375453699,0.010828528,,
IR-JP,IR,Middle East & North Africa,Lower middle,JP,East Asia & Pacific,High,261,2293,67,0.029219363,152939,194,0.00126848,23.03494949,0.001681354,,
EG-CN,EG,Middle East & North Africa,Lower middle,CN,East Asia & Pacific,Upper middle,260,1464,81,0.055327869,67509,179,0.002651498,20.86664301,0.003769591,,
PT-BE,PT,Europe & Central Asia,High,BE,Europe & Central Asia,High,260,3322,73,0.021974714,60400,187,0.003096026,7.097715119,0.004080223,,
IR-TR,IR,Middle East & North Africa,Lower middle,TR,Europe & Central Asia,Upper middle,259,3030,46,0.015181518,152202,213,0.001399456,10.84815693,0.00166847,,
ES-PL,ES,Europe & Central Asia,High,PL,Europe & Central Asia,High,259,7552,92,0.012182203,341139,167,0.000489537,24.88517774,0.000742778,,
ID-TW,ID,East Asia & Pacific,Lower middle,TW,East Asia & Pacific,High,259,966,53,0.054865424,79947,206,0.002576707,21.29284508,0.003200969,,
CA-FI,CA,North America,High,FI,Europe & Central Asia,High,258,3565,66,0.018513324,328421,192,0.000584615,31.66752279,0.000777141,,
CZ-AT,CZ,Europe & Central Asia,High,AT,Europe & Central Asia,High,258,3649,98,0.026856673,45476,160,0.003518339,7.633337901,0.005251908,,
IN-DK,IN,South Asia,Lower middle,DK,Europe & Central Asia,High,257,1950,48,0.024615385,435474,209,0.000479937,51.28880383,0.000587531,,
CN-PT,CN,East Asia & Pacific,Upper middle,PT,Europe & Central Asia,High,257,3915,78,0.019923372,2015612,179,0.0000888,224.3451786,0.000127258,,
AU-AT,AU,East Asia & Pacific,High,AT,Europe & Central Asia,High,256,3224,58,0.017990074,219866,198,0.000900549,19.9767965,0.001147519,,
CZ-CA,CZ,Europe & Central Asia,High,CA,North America,High,256,2364,74,0.031302876,46761,182,0.003892132,8.042603336,0.005211196,,
TR-BE,TR,Europe & Central Asia,Upper middle,BE,Europe & Central Asia,High,255,1842,52,0.028230185,131220,203,0.00154702,18.24810257,0.0019164,,
VN-US,VN,East Asia & Pacific,Lower middle,US,North America,High,254,2220,98,0.044144144,12263,156,0.012721194,3.470125895,0.017537803,,
IR-BE,IR,Middle East & North Africa,Lower middle,BE,Europe & Central Asia,High,253,1766,36,0.020385051,153466,217,0.001413994,14.41664623,0.001629819,,
FR-RE,FR,Europe & Central Asia,High,RE,#N/A,#N/A,252,1041,52,0.049951969,375467,200,0.00053267,93.77658021,0.000669308,,
AU-BR,AU,East Asia & Pacific,High,BR,Latin America & Caribbean,Upper middle,252,4161,65,0.015621245,218929,187,0.000854158,18.28846804,0.001129589,,
CU-ES,CU,Latin America & Caribbean,Upper middle,ES,Europe & Central Asia,High,251,1385,131,0.094584838,4579,120,0.026206595,3.609199759,0.042085848,,
BY-RU,BY,Europe & Central Asia,Upper middle,RU,Europe & Central Asia,Upper middle,250,2166,136,0.06278855,6196,114,0.018398967,3.412612788,0.029897154,,
FI-JP,FI,Europe & Central Asia,High,JP,East Asia & Pacific,High,249,2890,104,0.035986159,51611,145,0.002809479,12.80883904,0.004568724,,
SI-UK,SI,Europe & Central Asia,High,UK,Europe & Central Asia,High,249,2097,108,0.051502146,10521,141,0.013401768,3.842936718,0.019733714,,
NL-IL,NL,Europe & Central Asia,High,IL,Middle East & North Africa,High,249,3743,73,0.019503072,167876,176,0.001048393,18.60282831,0.001450888,,
DE-TH,DE,Europe & Central Asia,High,TH,East Asia & Pacific,Upper middle,248,2256,40,0.017730496,615669,208,0.000337844,52.48133183,0.000401343,,
BD-KR,BD,South Asia,Lower middle,KR,East Asia & Pacific,High,248,733,36,0.049113233,23370,212,0.009071459,5.414038971,0.010289176,,
TR-JP,TR,Europe & Central Asia,Upper middle,JP,East Asia & Pacific,High,248,2122,79,0.037229029,130940,169,0.001290667,28.84478749,0.001863793,,
FR-AR,FR,Europe & Central Asia,High,AR,Latin America & Caribbean,Upper middle,246,3249,52,0.016004925,373259,194,0.000519746,30.79372241,0.000653373,,
VE-ES,VE,Latin America & Caribbean,Upper middle,ES,Europe & Central Asia,High,245,888,72,0.081081081,5714,173,0.030276514,2.67801906,0.037109967,,
DK-BE,DK,Europe & Central Asia,High,BE,Europe & Central Asia,High,245,3601,87,0.024159956,58325,158,0.002708958,8.91854056,0.003956335,,
MY-CA,MY,East Asia & Pacific,Upper middle,CA,North America,High,245,1678,39,0.023241955,70440,206,0.002924475,7.94739461,0.00339721,,
FR-TH,FR,Europe & Central Asia,High,TH,East Asia & Pacific,Upper middle,244,1916,61,0.031837161,374592,183,0.000488532,65.1691023,0.000648061,,
PL-AT,PL,Europe & Central Asia,High,AT,Europe & Central Asia,High,244,3444,81,0.023519164,108145,163,0.001507236,15.60417157,0.002186595,,
KR-CH,KR,East Asia & Pacific,High,CH,Europe & Central Asia,High,244,2355,53,0.022505308,306487,191,0.000623191,36.11300675,0.000790048,,
IE-NL,IE,Europe & Central Asia,High,NL,Europe & Central Asia,High,244,2862,79,0.027603075,38328,165,0.004304947,6.411943333,0.005923768,,
UK-LK,UK,Europe & Central Asia,High,LK,South Asia,Lower middle,243,1061,22,0.020735156,619012,221,0.000357021,58.07832618,0.000391889,,
VN-AU,VN,East Asia & Pacific,Lower middle,AU,East Asia & Pacific,High,243,1835,102,0.055585831,12648,141,0.011148008,4.986167314,0.016778292,,
AT-BE,AT,Europe & Central Asia,High,BE,Europe & Central Asia,High,242,3382,88,0.026020106,62757,154,0.00245391,10.6035313,0.003658961,,
CA-ZA,CA,North America,High,ZA,Sub-Saharan Africa,Upper middle,242,2893,67,0.02315935,329093,175,0.000531765,43.55188583,0.000728946,,
RU-KR,RU,Europe & Central Asia,Upper middle,KR,East Asia & Pacific,High,242,2958,85,0.028735632,264553,157,0.000593454,48.42100447,0.000904636,,
FR-NZ,FR,Europe & Central Asia,High,NZ,East Asia & Pacific,High,240,2718,53,0.019499632,373790,187,0.000500281,38.97736618,0.000637437,,
RO-IT,RO,Europe & Central Asia,Upper middle,IT,Europe & Central Asia,High,240,2962,106,0.035786631,31944,134,0.004194841,8.531105445,0.006875609,,
CZ-SE,CZ,Europe & Central Asia,High,SE,Europe & Central Asia,High,240,2832,70,0.024717514,46293,170,0.003672261,6.73086989,0.004885496,,
KR-BD,KR,East Asia & Pacific,High,BD,South Asia,Lower middle,240,1354,52,0.038404727,307488,188,0.000611406,62.8137905,0.000777096,,
CL-CA,CL,Latin America & Caribbean,High,CA,North America,High,239,2071,66,0.031868662,33774,173,0.005122283,6.221573449,0.006667597,,
ES-GR,ES,Europe & Central Asia,High,GR,Europe & Central Asia,High,239,6872,90,0.013096624,341819,149,0.000435903,30.04479807,0.000685421,,
MX-BR,MX,Latin America & Caribbean,Upper middle,BR,Latin America & Caribbean,Upper middle,238,3133,71,0.022661985,78893,167,0.002116791,10.70582041,0.002901519,,
DE-VN,DE,Europe & Central Asia,High,VN,East Asia & Pacific,Lower middle,238,1308,32,0.024464832,616617,206,0.000334081,73.23024851,0.00038516,,
BE-AT,BE,Europe & Central Asia,High,AT,Europe & Central Asia,High,237,3943,63,0.015977682,79764,174,0.002181435,7.324389796,0.002831304,,
DE-TW,DE,Europe & Central Asia,High,TW,East Asia & Pacific,High,236,3435,45,0.013100437,614490,191,0.000310827,42.14705412,0.000381923,,
TR-ES,TR,Europe & Central Asia,Upper middle,ES,Europe & Central Asia,High,236,3155,73,0.023137876,129907,163,0.001254744,18.44031968,0.001773609,,
DE-AR,DE,Europe & Central Asia,High,AR,Latin America & Caribbean,Upper middle,236,4096,70,0.017089844,613829,166,0.000270434,63.1942271,0.000381923,,
IN-BR,IN,South Asia,Lower middle,BR,Latin America & Caribbean,Upper middle,235,3241,51,0.015735884,434183,184,0.000423784,37.1318115,0.000537236,,
UA-UK,UA,Europe & Central Asia,Lower middle,UK,Europe & Central Asia,High,235,2067,95,0.045960329,52619,140,0.002660636,17.27418965,0.004297261,,
CO-MX,CO,Latin America & Caribbean,Upper middle,MX,Latin America & Caribbean,Upper middle,234,1983,70,0.03530005,29326,164,0.005592307,6.3122517,0.007473889,,
NL-RU,NL,Europe & Central Asia,High,RU,Europe & Central Asia,Upper middle,234,3393,76,0.022399057,168226,158,0.000939213,23.84875787,0.001363485,,
CH-NO,CH,Europe & Central Asia,High,NO,Europe & Central Asia,High,234,2844,49,0.017229255,108576,185,0.001703876,10.11180294,0.002100162,,
US-ET,US,North America,High,ET,Sub-Saharan Africa,Low,233,2368,71,0.029983108,2613309,162,0.000062,483.6736189,8.91E-05,,
TH-FR,TH,East Asia & Pacific,Upper middle,FR,Europe & Central Asia,High,233,1595,95,0.059561129,40027,138,0.003447673,17.27574849,0.005598001,,
CZ-NL,CZ,Europe & Central Asia,High,NL,Europe & Central Asia,High,232,2995,72,0.024040067,46130,160,0.003468459,6.931051753,0.004722646,,
CN-TH,CN,East Asia & Pacific,Upper middle,TH,East Asia & Pacific,Upper middle,230,4930,72,0.014604462,2014597,158,0.0000784,186.2158626,0.000113888,,
UK-GH,UK,Europe & Central Asia,High,GH,Sub-Saharan Africa,Lower middle,229,1752,42,0.023972603,618321,187,0.000302432,79.26611604,0.000369311,,
FR-IR,FR,Europe & Central Asia,High,IR,Middle East & North Africa,Lower middle,229,1882,50,0.026567481,374626,179,0.00047781,55.60262172,0.000608221,,
DE-HR,DE,Europe & Central Asia,High,HR,Europe & Central Asia,High,228,3870,33,0.008527132,614055,195,0.000317561,26.85193798,0.000368977,,
NL-GR,NL,Europe & Central Asia,High,GR,Europe & Central Asia,High,228,3966,68,0.017145739,167653,160,0.000954352,17.9658409,0.001328524,,
BR-MX,BR,Latin America & Caribbean,Upper middle,MX,Latin America & Caribbean,Upper middle,227,5004,54,0.010791367,401683,173,0.000430688,25.05611927,0.000558169,,
ZA-CH,ZA,Sub-Saharan Africa,Upper middle,CH,Europe & Central Asia,High,227,2082,76,0.036503362,44454,151,0.00339677,10.74649312,0.004877944,,
HU-IT,HU,Europe & Central Asia,High,IT,Europe & Central Asia,High,226,2918,97,0.033241947,27965,129,0.004612909,7.206287093,0.007317942,,
SG-MY,SG,East Asia & Pacific,High,MY,East Asia & Pacific,Upper middle,225,1446,44,0.030428769,52235,181,0.00346511,8.781473755,0.004191427,,
TH-CN,TH,East Asia & Pacific,Upper middle,CN,East Asia & Pacific,Upper middle,225,2064,99,0.047965116,39558,126,0.003185196,15.05876246,0.005405795,,
CO-DE,CO,Latin America & Caribbean,Upper middle,DE,Europe & Central Asia,High,225,1309,56,0.042780749,30000,169,0.005633333,7.594215739,0.007186432,,
US-SI,US,North America,High,SI,Europe & Central Asia,High,225,4239,57,0.013446568,2611438,168,0.0000643,209.0171284,8.60E-05,,
CN-MY,CN,East Asia & Pacific,Upper middle,MY,East Asia & Pacific,Upper middle,224,5591,71,0.012698981,2013936,153,0.000076,167.1564314,0.000110917,,
LK-UK,LK,South Asia,Lower middle,UK,Europe & Central Asia,High,224,972,70,0.072016461,6726,154,0.022896224,3.145342312,0.029098467,,
DK-FI,DK,Europe & Central Asia,High,FI,Europe & Central Asia,High,224,4068,94,0.023107178,57858,130,0.00224688,10.28411618,0.003617221,,
ID-US,ID,East Asia & Pacific,Lower middle,US,North America,High,224,2250,77,0.034222222,78663,147,0.001868731,18.31307937,0.002768406,,
FI-RU,FI,Europe & Central Asia,High,RU,Europe & Central Asia,Upper middle,224,3028,87,0.028731836,51473,137,0.00266159,10.79499127,0.004110016,,
RU-AT,RU,Europe & Central Asia,Upper middle,AT,Europe & Central Asia,High,224,3185,64,0.020094192,264326,160,0.000605313,33.19635793,0.000837349,,
HU-SE,HU,Europe & Central Asia,High,SE,Europe & Central Asia,High,222,1666,68,0.040816327,29217,154,0.005270904,7.743705274,0.007188421,,
TW-SG,TW,East Asia & Pacific,High,SG,East Asia & Pacific,High,222,2343,48,0.020486556,160002,174,0.001087486,18.83844761,0.001367458,,
CO-FR,CO,Latin America & Caribbean,Upper middle,FR,Europe & Central Asia,High,222,1465,74,0.050511945,29844,148,0.004959121,10.18566553,0.007090613,,
SE-RU,SE,Europe & Central Asia,High,RU,Europe & Central Asia,Upper middle,222,3096,77,0.024870801,99479,145,0.001457594,17.06291321,0.00216427,,
FR-PK,FR,Europe & Central Asia,High,PK,South Asia,Lower middle,222,1059,27,0.025495751,375449,195,0.000519378,49.08899542,0.000589629,,
DE-SK,DE,Europe & Central Asia,High,SK,Europe & Central Asia,High,221,3869,57,0.014732489,614056,164,0.000267077,55.16203216,0.000357649,,
CA-RU,CA,North America,High,RU,Europe & Central Asia,Upper middle,221,2793,59,0.021124239,329193,162,0.000492113,42.92562756,0.000665691,,
IN-CZ,IN,South Asia,Lower middle,CZ,Europe & Central Asia,High,221,1844,34,0.018438178,435580,187,0.000429313,42.94813646,0.000505231,,
