mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
US-ES,US,North America,High,ES,Europe & Central Asia,High,2615677,243148,926952,5864,75984,1827,0.024044536,2539693,4037,0.001589562,15.12651449,0.002241867,0.024116999,0.081971882
FR-CA,FR,Europe & Central Asia,High,CA,North America,High,376508,76371,193058,5813,29120,1317,0.045226648,347388,4496,0.012942301,3.494482855,0.015439247,0.076115279,0.1508355
UK-CA,UK,Europe & Central Asia,High,CA,North America,High,620073,107707,294247,5750,40138,1543,0.038442374,579935,4207,0.007254261,5.299281687,0.009273102,0.053385574,0.136409207
IT-DE,IT,Europe & Central Asia,High,DE,Europe & Central Asia,High,315823,59697,171682,5694,45717,2176,0.047597174,270106,3518,0.013024516,3.654429295,0.018029086,0.095381677,0.266288836
DE-FR,DE,Europe & Central Asia,High,FR,Europe & Central Asia,High,617925,99584,325627,5662,60153,1985,0.032999185,557772,3677,0.006592299,5.005717064,0.009162924,0.056856523,0.184729767
NL-UK,NL,Europe & Central Asia,High,UK,Europe & Central Asia,High,171619,36327,103040,5632,38413,2356,0.061333403,133206,3276,0.024593487,2.493888049,0.032816879,0.155036199,0.372796972
CN-SG,CN,East Asia & Pacific,Upper middle,SG,East Asia & Pacific,High,2019527,123439,635973,5348,38700,1730,0.044702842,1980827,3618,0.00182651,24.47446024,0.002648145,0.043325043,0.06085164
FR-CH,FR,Europe & Central Asia,High,CH,Europe & Central Asia,High,376508,76371,193058,5322,31176,1225,0.039293046,345332,4097,0.011863945,3.311971232,0.014135158,0.069686137,0.16148515
UK-FR,UK,Europe & Central Asia,High,FR,Europe & Central Asia,High,620073,107707,294247,5281,50934,1686,0.033101661,569139,3595,0.006316559,5.240457921,0.008516739,0.049031168,0.173099471
DE-NL,DE,Europe & Central Asia,High,NL,Europe & Central Asia,High,617925,99584,325627,5241,52848,1855,0.035100666,565077,3386,0.005992104,5.857820164,0.008481612,0.052628936,0.162296124
DE-AT,DE,Europe & Central Asia,High,AT,Europe & Central Asia,High,617925,99584,325627,5182,45541,1703,0.037394875,572384,3479,0.006078087,6.152408193,0.008386131,0.052036472,0.139856339
US-TW,US,North America,High,TW,East Asia & Pacific,High,2615677,243148,926952,5091,35759,1127,0.031516541,2579918,3964,0.001536483,20.51213223,0.001946341,0.020937865,0.038576971
SE-US,SE,Europe & Central Asia,High,US,North America,High,102575,21422,63065,5078,25220,2403,0.095281523,77355,2675,0.034580829,2.755327918,0.04950524,0.237046027,0.39990486
CH-DE,CH,Europe & Central Asia,High,DE,Europe & Central Asia,High,111420,26940,72388,5057,30346,2163,0.071277928,81074,2894,0.035695784,1.996816422,0.045386825,0.187713437,0.419213129
US-SE,US,North America,High,SE,Europe & Central Asia,High,2615677,243148,926952,5004,59742,1637,0.027401158,2555935,3367,0.001317326,20.80058793,0.00191308,0.020580058,0.064449939
CA-UK,CA,North America,High,UK,Europe & Central Asia,High,331986,58798,157507,4982,32169,1433,0.044545991,299817,3549,0.011837221,3.76321373,0.015006657,0.084730773,0.204238542
US-BR,US,North America,High,BR,Latin America & Caribbean,Upper middle,2615677,243148,926952,4732,51856,1364,0.02630361,2563821,3368,0.001313664,20.02308423,0.001809092,0.019461398,0.055942487
US-IL,US,North America,High,IL,Middle East & North Africa,High,2615677,243148,926952,4705,49740,1422,0.028588661,2565937,3283,0.001279455,22.34441156,0.001798769,0.019350355,0.053659736
NL-DE,NL,Europe & Central Asia,High,DE,Europe & Central Asia,High,171619,36327,103040,4616,35796,1907,0.053274109,135823,2709,0.019945076,2.671040711,0.026896789,0.127068021,0.347399068
